affiliations_original,affiliation_1,affiliation_2,confidence,manual,affiliation_1_manual,affiliation_2_manual
University of Erlangen-Nuremberg-Friedrich Alexander Universität Erlangen Nürnberg and,University of Erlangen-Nuremberg-Friedrich Alexander Universität Erlangen Nürnberg,,100,,,
"University of California, Davis, Department of Economics, Students and","University of California, Davis, Department of Economics, Students",,100,,,
The University of Sydney - Discipline of Finance and,The University of Sydney - Discipline of Finance,,100,,,
and Washington State University,,Washington State University,100,,,
and PwC Germany,,PwC Germany,100,,,
and Stanford Law School,,Stanford Law School,100,,,
and The University of Hong Kong - Faculty of Law,,The University of Hong Kong - Faculty of Law,100,,,
and Bank of England,,Bank of England,100,,,
Complutense University and,Complutense University,,100,,,
Universidad Complutense de Madrid and,Universidad Complutense de Madrid,,100,,,
and University of Essex - Essex Business School,,University of Essex - Essex Business School,100,,,
and,,,100,,,
Yale School of Management and,Yale School of Management,,100,,,
Toulouse School of Economics and,Toulouse School of Economics,,100,,,
National Bureau of Economic Research (NBER) and,National Bureau of Economic Research (NBER),,100,,,
National Bureau of Economic Research (NBER) and,National Bureau of Economic Research (NBER),,100,,,
and Independent,,Independent,100,,,
University of Plymouth - Plymouth Business School and,University of Plymouth - Plymouth Business School,,100,,,
and Modern Money Network,,Modern Money Network,100,,,
Durham University and,Durham University,,100,,,
and City University of Hong Kong (CityU),,City University of Hong Kong (CityU),100,,,
University of Amsterdam Business School and,University of Amsterdam Business School,,100,,,
"Nankai University - Business School, Sun Yat-sen University (SYSU) - ISBF and","Nankai University - Business School, Sun Yat-sen University (SYSU) - ISBF",,100,,,
and Bank of Greece,,Bank of Greece,100,,,
and Federal Reserve Banks - Federal Reserve Bank of St. Louis,,Federal Reserve Banks - Federal Reserve Bank of St. Louis,100,,,
Cornell Law School and,Cornell Law School,,100,,,
University of Iowa - Department of Business Analytics and,University of Iowa - Department of Business Analytics,,100,,,
University of Connecticut - School of Business and,University of Connecticut - School of Business,,100,,,
and Washington University in St. Louis - Olin Business School,,Washington University in St. Louis - Olin Business School,100,,,
Rice University and,Rice University,,100,,,
and University of Calcutta,,University of Calcutta,100,,,
University of Würzburg and,University of Würzburg,,100,,,
Case Western Reserve University School of Law and,Case Western Reserve University School of Law,,100,,,
Bocconi University and,Bocconi University,,100,,,
and North Eastern Hill University,,North Eastern Hill University,100,,,
and London Business School,,London Business School,100,,,
Boston College - Carroll School of Management and,Boston College - Carroll School of Management,,100,,,
and Villanova University - Charles Widger School of Law,,Villanova University - Charles Widger School of Law,100,,,
and Washington University in St. Louis - Olin Business School,,Washington University in St. Louis - Olin Business School,100,,,
and Azerbaijan National Academy of Sciences,,Azerbaijan National Academy of Sciences,100,,,
and Independent,,Independent,100,,,
and,,,100,,,
and University of the Witwatersrand,,University of the Witwatersrand,100,,,
The University of Hong Kong and,The University of Hong Kong,,100,,,
and Brainae University,,Brainae University,100,,,
and European Central Bank (ECB),,European Central Bank (ECB),100,,,
and Utrecht University - Faculty of Law,,Utrecht University - Faculty of Law,100,,,
affiliation not provided to SSRN and,affiliation not provided to SSRN,,100,,,
Complutense University of Madrid and,Complutense University of Madrid,,100,,,
GNLU Centre for Empirical & Applied Research in Law & Interdisciplinary Studies and,GNLU Centre for Empirical & Applied Research in Law & Interdisciplinary Studies,,100,,,
and CEM Benchmarking Inc.,,CEM Benchmarking Inc.,100,,,
and Pooja Bhagavat Memorial Mahajana Post Graduate Center,,Pooja Bhagavat Memorial Mahajana Post Graduate Center,100,,,
and,,,100,,,
and University of the Witwatersrand,,University of the Witwatersrand,100,,,
and Bank of Portugal,,Bank of Portugal,100,,,
University of Southern California - Marshall School of Business and,University of Southern California - Marshall School of Business,,100,,,
The University of Sydney - Discipline of Finance and,The University of Sydney - Discipline of Finance,,100,,,
Srinivas University and,Srinivas University,,100,,,
and University of Houston - Downtown - College of Business,,University of Houston - Downtown - College of Business,100,,,
and National University of Singapore (NUS) - Faculty of Law,,National University of Singapore (NUS) - Faculty of Law,100,,,
University of Colorado at Boulder - Department of Finance and,University of Colorado at Boulder - Department of Finance,,100,,,
and PwC Germany,,PwC Germany,100,,,
Indiana University Kokomo - School of Business and,Indiana University Kokomo - School of Business,,100,,,
University of Michigan at Ann Arbor and,University of Michigan at Ann Arbor,,100,,,
and University of St. Gallen - School of Finance,,University of St. Gallen - School of Finance,100,,,
and University of British Columbia,,University of British Columbia,100,,,
"and University of Warwick - Finance Group, Students",,"University of Warwick - Finance Group, Students",100,,,
"Stockholm School of Economics, Riga and","Stockholm School of Economics, Riga",,100,,,
and Robert Gordon University - Aberdeen Business School,,Robert Gordon University - Aberdeen Business School,100,,,
and University of Trento - Faculty of Law,,University of Trento - Faculty of Law,100,,,
Cornell Law School and,Cornell Law School,,100,,,
"Chief Economist, Alpha Bank, University of Pireaus and","Chief Economist, Alpha Bank, University of Pireaus",,100,,,
and,,,100,,,
and Harvard University - Business School (HBS),,Harvard University - Business School (HBS),100,,,
and European Central Bank (ECB),,European Central Bank (ECB),100,,,
and The Education University of Hong Kong,,The Education University of Hong Kong,100,,,
Harvard University - Harvard Graduate School of Design and,Harvard University - Harvard Graduate School of Design,,100,,,
Northwestern University - Kellogg School of Management and,Northwestern University - Kellogg School of Management,,100,,,
"Indian Institute of Foreign Trade, Indian Institute of Foreign Trade, New Delhi and","Indian Institute of Foreign Trade, Indian Institute of Foreign Trade, New Delhi",,100,,,
and South China Normal University,,South China Normal University,100,,,
and University of Missouri at Kansas City,,University of Missouri at Kansas City,100,,,
and,,,100,,,
and Bank of Portugal,,Bank of Portugal,100,,,
University of Bristol and,University of Bristol,,100,,,
and University of Missouri at Kansas City,,University of Missouri at Kansas City,100,,,
and Yokohama City University,,Yokohama City University,100,,,
"and Burns, Figa & Will, PC, University of Denver",,"Burns, Figa & Will, PC, University of Denver",100,,,
and Duke University School of Law,,Duke University School of Law,100,,,
Korea Accounting Research Institute (KARI) and,Korea Accounting Research Institute (KARI),,100,,,
and affiliation not provided to SSRN,,affiliation not provided to SSRN,100,,,
and Singapore Management University - Singapore Global Restructuring Initiative,,Singapore Management University - Singapore Global Restructuring Initiative,100,,,
Rice University - Jesse H. Jones Graduate School of Business and,Rice University - Jesse H. Jones Graduate School of Business,,100,,,
Yale School of Management and,Yale School of Management,,100,,,
The University of Sydney - Discipline of Finance and,The University of Sydney - Discipline of Finance,,100,,,
University of Prizren and,University of Prizren,,100,,,
Yale School of Management and,Yale School of Management,,100,,,
and Harvard University,,Harvard University,100,,,
and Aspen Institute Business & Society Program,,Aspen Institute Business & Society Program,100,,,
and Harvard University,,Harvard University,100,,,
Charles University in Prague - Faculty of Social Sciences and,Charles University in Prague - Faculty of Social Sciences,,100,,,
